operation,direction_key,slope,signed_slope,line_bin_width,line_id,n_pixels_used,used_fallback,line_median,global_median,stripe_offset_subtracted
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-3,387,0,0.0029313260528554337,0.0006766097436699554,0.0022547163091854784
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-2,391,0,0.008353574783788575,0.0006766097436699554,0.007676965040118619
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-1,395,0,0.006267925782712255,0.0006766097436699554,0.0055913160390423
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,0,400,0,0.0016317027176207396,0.0006766097436699554,0.0009550929739507842
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,1,399,0,0.004558813651197518,0.0006766097436699554,0.0038822039075275625
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,2,401,0,-0.002622459237671934,0.0006766097436699554,-0.0032990689813418893
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,3,396,0,-0.004932045085719328,0.0006766097436699554,-0.005608654829389283
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,4,394,0,-0.0018771891705253842,0.0006766097436699554,-0.0025537989141953396
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,5,388,0,-0.003951080168257956,0.0006766097436699554,-0.004627689911927912
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,6,384,0,-0.003911320100422843,0.0006766097436699554,-0.004587929844092798
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,7,378,0,-0.0025764847191116326,0.0006766097436699554,-0.003253094462781588
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,8,376,0,-0.0070362554077090635,0.0006766097436699554,-0.007712865151379019
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,9,370,0,-0.009381391175179391,0.0006766097436699554,-0.010058000918849347
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,10,368,0,-0.00019706664165870547,0.0006766097436699554,-0.0008736763853286608
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,11,362,0,-0.0008303687422091463,0.0006766097436699554,-0.0015069784858791017
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,12,360,0,0.0017699057842956107,0.0006766097436699554,0.0010932960406256553
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,13,354,0,-0.006748601541586933,0.0006766097436699554,-0.0074252112852568886
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,14,352,0,-0.010735027676309392,0.0006766097436699554,-0.011411637419979347
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,15,346,0,-0.006065772768779993,0.0006766097436699554,-0.006742382512449949
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,16,344,0,-0.007187653723286451,0.0006766097436699554,-0.007864263466956407
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,17,338,0,-0.004714303905737905,0.0006766097436699554,-0.005390913649407861
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,18,336,0,-0.0020860118534538636,0.0006766097436699554,-0.002762621597123819
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,19,330,0,-0.004812601996217969,0.0006766097436699554,-0.005489211739887924
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,20,328,0,-0.0034710079422389994,0.0006766097436699554,-0.004147617685908955
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,21,322,0,-0.004189894348308211,0.0006766097436699554,-0.004866504091978166
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,22,320,0,0.001778515929364492,0.0006766097436699554,0.0011019061856945367
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,23,314,0,0.0007737349288011611,0.0006766097436699554,9.712518513120571e-05
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,24,312,0,-0.006714740026911712,0.0006766097436699554,-0.007391349770581667
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,25,306,0,-0.0003074571949272831,0.0006766097436699554,-0.0009840669385972386
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,26,304,0,-0.009441233578054552,0.0006766097436699554,-0.010117843321724508
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,27,298,0,-0.007428958531590531,0.0006766097436699554,-0.008105568275260487
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,28,296,0,0.00227963818795112,0.0006766097436699554,0.0016030284442811646
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,29,289,0,0.0012216703350538295,0.0006766097436699554,0.0005450605913838742
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,30,286,0,-0.003792432808499494,0.0006766097436699554,-0.004469042552169449
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,31,280,0,0.0013071510841610626,0.0006766097436699554,0.0006305413404911072
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,32,278,0,0.001027037345858484,0.0006766097436699554,0.0003504276021885286
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,33,272,0,-0.002684876813801633,0.0006766097436699554,-0.0033614865574715883
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,34,270,0,0.0019054522479367546,0.0006766097436699554,0.0012288425042667993
